Area,Inner_Outer_London,GLA_Population_Estimate_2013,GLA Household Estimate 2013,Inland Area (Hectares),Population density (per hectare) 2013,Average Age (2013),"Proportion of population aged 0-15, 2013","Proportion of population of working-age, 2013","Proportion of population aged 65 and over, 2013",Percentages of resident population born abroad (2013),Percentage of population from BAME groups (2013),Percentage people aged 3+ whose main language is not English (2011 census),"Overseas nationals entering the UK (NINo), (2013/14)","New migrant (NINo) rates, (2013/14)",Employment rate (%) (2013/14),Male employment rate (2013/14),Female employment rate (2013/14),Unemployment rate (2013/14),Youth Unemployment rate (2013/14),Proportion of 16-18 year olds who are NEET (%) (2013),Proportion of the working-age population who claim benefits (%) (Feb-2014),Percentage working-age with a disability (2012),Proportion of working age people with no qualifications (%) 2013,Proportion of working age people in London with degree or equivalent and above (%) 2013,"Gross Annual Pay, (2013)",Gross Annual Pay - Male (2013),Gross Annual Pay - Female (2013),Percentage adults that volunteered in past 12 months (2010/11 to 2012/13),Number of jobs by workplace (2012),Percentage of employment that is in public sector (2012),"Jobs Density, 2012","Number of active businesses, 2012",Two-year business survival rates 2012,Crime rates per thousand population 2013/14,Fires per thousand population (2013),Ambulance incidents per hundred population (2013),"Median House Price, 2013",Average Band D Council Tax charge (2014/15),New Homes_net_2012_13,"Homes Owned outright, (2013)","Being bought with mortgage or loan, (2013) ","Rented from Local Authority or Housing Association, (2013) ","Rented from Private landlord, (2013) ",Percentage of area that is Greenspace_2005,Total carbon emissions (2012),Household Waste Recycling Rate_2012_13,Number of cars_2011,Number of cars per household_2011,"Percentageof adults who cycle at least once per month,_2011_12","Average Public Transport Accessibility score,_2012",Indices of Multiple Deprivation 2010 Rank of Average Score,Income Support claimant rate_Feb14,Percentage children living in out-of-work families_2013,Achievement of 5 or more A*- C grades at GCSE or equivalent including English and Maths_2012_13,Rates of Children Looked After (2013),Percentage of pupils whose first language is not English_2014,Male life expectancy_2010_12,"Female life expectancy, (2010-12)",Teenage conception rate (2012),Life satisfaction score 2012-13 (out of 10),Worthwhileness score 2012-13 (out of 10),Happiness score 2012-13 (out of 10),Anxiety score 2012-13 (out of 10),Political control in council
Barking and Dagenham,Outer London,195600,73261.40858,3610.8,54.16053,33.22893,26.07294,63.83502,10.09204,35.78947,45.71236,18.7242,4405,35.9677,63.2,73.2,53.5,13,25.5,5.75432,14.3,22.6,15.7,21.2,28408,30714,24320,20.52971,54500,22.10953,0.46,4580,70.86614,82.64386,3.76789,14.08487,180000,1315.4,510,15.8,29.1,34.9,17.9,33.6,780.83537,26.84473,56966,0.81753,9,2.99482,22,4.04177,27.90559,60.2,76,44.69407,77.6,82,35.4,7.06,7.57,6.97,3.3,Lab
Barnet,Outer London,370000,141385.7949,8674.8,42.65137,36.89625,20.88641,65.50559,13.608,35.85434,37.14881,23.40504,9406,39.08451,72.5,80,65,5.3,12.1,2.30762,7.8,11.8,4.4,43.8,33006,39030,28346,33.17656,153000,20.28381,0.65,22110,66.59836,61.47044,1.95135,11.61676,346000,1401.07,1370,31.5,29.3,12.9,24.2,41.3,1541.98309,33.02973,144717,1.06475,9,2.99453,176,1.7369,15.06985,71.5,37,43.18743,81.4,84.5,14.7,7.35,7.79,7.27,2.63,Cons
Bexley,Outer London,236500,94701.2264,6058.1,39.04424,38.88304,20.28283,63.14645,16.57072,16.45022,19.6201,6.03129,1401,9.40881,72.2,79.5,65.1,8.6,16.7,4.23032,8.5,20.2,4.8,21.9,32856,34254,29272,22.13448,77400,18.04734,0.53,7390,71.42857,49.93092,2.32981,12.15053,224999.5,1427.59,420,36.2,36.9,14.6,11.7,31.7,1095.97307,54.29919,108507,1.17173,10,2.51301,174,2.23636,18.2397,66,47,14.11749,80.3,84.4,25.8,7.47,7.75,7.21,3.22,Cons
Brent,Outer London,320200,114318.5539,4323.3,74.06367,35.26269,20.46258,68.71487,10.82254,53.30739,64.94814,37.15112,16696,76.71666,65.9,75.3,56,9.4,19.4,2.99202,10.8,18.7,7.9,36.9,28111,28713,27492,17.25859,121900,19.13919,0.57,13220,71.47239,76.9769,2.14241,12.67614,350000,1357.94,660,19.5,24.5,23,30.9,21.9,1358.2256,42.50255,87802,0.79613,10,3.70275,35,2.2561,21.7762,62.9,49,61.95572,79.9,84.5,19.6,7.23,7.32,7.09,3.33,Lab
Bromley,Outer London,317400,134012.6751,15013.5,21.13766,39.8445,19.648,62.92705,17.42495,15.87302,16.89775,5.79282,1902,9.51966,77.7,83.9,71.8,5.1,28,5.77611,7.5,16.4,5.8,39.1,36327,40504,32125,28.97258,120100,18.43137,0.62,13425,75.9322,61.09173,2.3535,11.41966,295650,1309.07,690,39.6,37.4,9.7,11.1,57.8,1376.12302,49.06875,153908,1.17611,14,2.71338,203,1.88191,14.70013,73.9,40,10.12445,81,84.5,24.2,7.63,7.8,7.36,3.2,Cons
Camden,Inner London,228400,100841.9165,2178.9,104.82098,35.84241,15.63262,73.31347,11.05391,44.21488,34.56685,23.46326,8715,52.84861,64.7,70.7,58.4,7.1,19.3,4.3638,10.5,17,9.7,53.7,37685,40969,36080,21.91789,342000,13.51266,2.11,26460,67.57679,124.37804,3.14361,15.67207,575000,1320.77,560,16.5,15.5,37.3,29.4,24.8,1625.37335,30.91039,46601,0.47779,18,5.59751,74,2.41351,24.44878,60.4,67,54.29475,80.5,85.4,18.1,7.22,7.37,7.13,3.25,Lab
Croydon,Outer London,373100,150053.929,8650.4,43.12971,36.57076,21.64189,65.63859,12.71952,32.75862,47.24221,14.49527,5776,23.70721,73.4,76.9,69.9,9.4,25.4,3.02182,10.4,16.8,6.1,33,31181,35195,27004,27.18705,137700,22.08801,0.58,13020,72.2408,75.52206,2.42294,13.67274,240000,1470.39,890,26.6,38.8,14.5,18.8,37.1,1540.43942,44.30473,140049,0.96579,8,3.24186,107,2.69661,20.82664,64.4,82,29.08843,79.2,83.2,28.6,7,7.46,7.11,3.02,Lab
Ealing,Outer London,344900,126860.9776,5554.4,62.08981,35.6371,20.64203,68.21669,11.14128,46.91358,52.35216,33.87849,11289,48.57239,67.1,75.2,58.2,10.9,39.4,3.2882,9.8,17.6,10.6,36.9,29778,31457,27785,32.07986,147000,16.00325,0.64,15065,70.84548,75.28307,2.27892,11.95941,327000,1358.93,990,20.8,30.9,16.2,30.8,30.9,1602.83172,40.56788,112845,0.90944,14,3.30738,80,2.02224,19.84175,60.9,51,59.6318,79.2,84.2,22.4,7.24,7.48,7.44,3.58,Lab
Enfield,Outer London,322400,124601.9547,8083.2,39.88849,36.06287,22.18256,65.11493,12.70251,32.33333,41.23427,22.85315,5665,27.32623,66.4,74.5,58.4,7.2,11.8,4.16713,12.1,15.3,8.7,28.9,29629,32143,27996,22.43596,116700,23.14629,0.57,11280,69.42446,70.49082,2.69231,12.75868,250000,1399.34,550,28.8,30.2,19.9,20.8,45.6,1266.63818,38.81465,119653,0.99781,8,2.94493,64,3.14505,25.25668,63.2,37,45.84126,80.5,84,26.4,7.18,7.57,7.41,2.51,Lab
Greenwich,Outer London,262800,104999.5939,4733.4,55.51609,34.73705,21.75414,67.65098,10.59487,31.60173,39.59829,16.86397,5149,28.79432,63.8,71.4,56.4,10.8,32.7,6.53911,11.7,18.8,7.1,36.2,31624,33543,29993,17.41237,79400,27.59104,0.46,7665,72.16981,74.02806,3.11263,12.8204,265000,1280.04,110,16.1,30.9,33.5,16.3,34.4,1103.81957,39.94333,78185,0.77376,14,3.33049,28,3.10927,25.62681,65.4,93,38.7187,78.5,82.2,34.7,7.16,7.49,7.05,3.68,Lab
