Area,output,population,household,area.hectares,population.density,average.age,proportion.0.15,proportion.working.age,proportion.over65,percent.born.abroad,percent.BAME,percent.not.english,overseas.nationals,new.migrant.rates,empolyment.rate,male.employment,female.employment,unemployment.rate,youth.unemploy,proportion.16.18.NEET,proportion.claim.benefits,percentage.disability,proportion.no.qual,proportion.degree,gross.annual.pay,male.pay,female.pay,percentage.adults.volunteer,number.jobs,percent.public.sector,jobs.density,crime.rate,fire.rate,ambulance.incidents,median.house.price,average.d.council,net.new.homes,homes.owned,homes.mortgage,rented.LA,rented.private,greenspace.percent,recycling.rate,total.carbon,number.cars,cars.household,cycle.percent,pt.access.score,IMD.average.rank.score,income.suport,child.no.work.family,AlevelGrades,children.looked,pupils.percent.not.english,male.life,female.life,teenage.preg,life.statisfaction,worthwhileness,happiness,anxiety,BirthsNum,BirthsRate,DeathsNum,DeathsRate,Active.Num,Y1.Num,Y1.Rate,Y2.Num,Y3.Num,Y3.Rate,Y4.Num,Y4.Rate,Y5.Num,Y5.Rate
Barking and Dagenham,0.244961223,-0.834434174,-1.070309306,-0.352586421,-0.453484591,-1.114362808,2.128891554,-1.256782195,-0.457104502,-0.008901263,0.397101416,-0.32803574,-0.66562112,-0.304095053,-1.386382165,-1.005583098,-1.46684919,2.10430656,0.432399988,1.789819315,1.891525142,2.3547626,2.709058016,-1.812874723,-1.244348738,-1.142347373,-1.697381825,-0.794833011,-0.801733661,0.624182332,-0.2039504,-0.034651361,0.534618381,-0.07684556,-1.120293543,0.045423288,-0.309088104,-0.76054736,0.06053693,1.150689167,-0.827911979,0.172639316,-1.05258911,-0.799948791,-0.682982616,0.033448622,-1.073772577,-0.703213755,-0.97843181,2.467663437,1.035527285,-0.975640979,0.905229479,0.019484219,-1.462729994,-1.728928322,1.530642681,-1.075440665,-0.046470712,-1.480792228,0.053598346,-1.001900553,0.93991254,-1.160528158,0.353609774,-1.115203571,-1.047632269,0.59904298,-1.088222313,-1.142242912,-0.172659047,-1.172134332,-0.183394408,-1.186807413,-0.141640404
Barnet,-0.563410812,1.584512867,1.442708826,1.195602068,-0.767046412,0.428947204,0.462200171,-0.85501163,0.691596559,-0.002784534,-0.19284504,0.200477325,0.470407777,-0.17812534,0.39816512,0.462973158,0.338503659,-1.302402615,-1.285979205,-1.614971037,-0.76031893,-2.166381592,-1.187502758,0.09140974,-0.070930191,0.795156015,-0.536989493,0.816329714,-0.030945354,0.263995557,-0.189721303,-0.653777127,-0.532629725,-0.282431823,-0.12222999,0.436210641,1.764651939,1.157620279,0.0846013,-0.984485249,-0.033116479,0.780224499,0.506994113,-0.118925032,1.837958997,0.904028714,-1.073772577,-0.70344478,0.846298633,-0.715056898,-0.991493064,1.172908217,-0.841442695,-0.072157582,1.299194963,0.6599191,-1.745278844,0.319134832,1.116899516,0.39386801,-2.291602773,0.908468817,-0.31330418,1.827685502,2.020627281,1.122786173,0.905127044,-0.961621626,0.970255535,1.097922092,-0.172659047,1.15476181,0.040754313,1.21626282,0.092066263
Bexley,0.783875912,-0.267146709,-0.279422902,0.395612965,-0.865321025,1.265043562,0.268239742,-1.422382654,1.659548301,-1.832439806,-1.400405031,-1.761190637,-1.348010803,-1.377505283,0.340599079,0.35499108,0.35420238,0.157615603,-0.69608784,0.284350172,-0.474735722,1.35006389,-1.049571403,-1.75389246,-0.109210483,-0.317580418,-0.270093493,-0.590391145,-0.622535161,-0.177225943,-0.198708101,-0.991200848,-0.310278046,-0.237970361,-0.849737152,0.55718275,-0.52610741,1.731848808,0.99904735,-0.819494499,-1.610091678,0.022715699,-0.406875464,2.223032546,0.797705373,1.28075656,-0.899218414,-1.087041793,0.822600836,-0.02536876,-0.490910281,0.127154184,-0.393578035,-1.840344854,0.49969037,0.564365203,0.011374728,0.896200554,0.905377657,0.018935962,-0.226425668,-0.957473359,-0.93991254,-0.786246851,0.353609774,-0.756461347,-1.004832065,0.59904298,-1.011204435,-1.04041723,0.511070778,-1.026000758,0.713200476,-1.024802678,0.793186264
Brent,-0.563410812,0.893781429,0.444234255,-0.134757768,0.088767392,-0.25850017,0.326002404,-0.083182708,-0.21844248,1.642900245,1.722262156,1.752545517,2.12640671,1.342824323,-0.868287792,-0.552058372,-1.074381179,0.511559413,-0.349847256,-0.9388929,0.463609103,0.722127197,0.019396597,-0.489986844,-1.320143716,-1.608550388,-0.783133321,-1.21156181,-0.274311002,0.038179448,-0.195712502,-0.200357277,-0.420378729,-0.194188602,-0.098180266,0.239471309,0.052610741,-0.308495114,-0.492943574,-0.004246085,0.812142227,-0.750574533,0.130477057,0.924117085,0.202884845,-0.041911033,-0.899218414,-0.139249988,-0.824396123,0.001889566,0.067573879,-0.462270817,-0.304005103,1.069428933,0.208961428,0.6599191,-0.969819159,-0.257930891,-1.368482334,-0.730928133,0.158607352,0.002154046,0,0.028720511,0.353609774,-0.012166983,0.043772936,0.338932212,-0.009972012,0.00561023,-0.400568988,0.008175305,-0.183394408,0.001227309,-0.375347071
Bromley,1.322790602,0.854945124,1.170724229,3.133497481,-1.35317764,1.669652607,0.064237126,-1.475148155,1.938634214,-1.886865207,-1.587948834,-1.788116255,-1.234203469,-1.373025143,1.395976505,1.305233364,1.406016648,-1.390888567,0.752993121,1.811344363,-0.882711733,-0.240709066,-0.704743016,-0.30461402,0.776595471,1.138575928,0.552211356,0.280757942,-0.288396474,-0.101462667,-0.191968002,-0.664850875,-0.296359769,-0.29884967,-0.424955893,0.016548724,0.12495051,2.14724817,1.059208274,-1.295056073,-1.685786487,2.082192747,0.167148672,1.647114371,2.10200128,1.296180639,-0.201001763,-0.927419486,1.166218906,-0.514817286,-1.049879255,1.62923725,-0.707083297,-2.083222634,1.00846602,0.6599191,-0.241836598,1.665621518,1.169779981,0.956266081,-0.296431671,-0.268851842,-0.93991254,-0.134272962,-0.479898979,0.014004603,-0.229078365,0.59904298,-0.157006144,-0.096215452,1.194800603,-0.092994093,0.937349197,-0.079775059,1.026892931
Camden,-0.832868157,-0.379494593,-0.052901,-0.790353225,0.926736291,-0.014537909,-1.226105212,1.022776411,-0.14285147,0.78554836,-0.370717319,0.207050938,0.313439977,0.378167703,-1.098551958,-1.545493487,-0.697611889,-0.506029041,-0.362670982,0.416207141,0.3412163,0.010465612,0.640087693,0.925587446,1.123159714,1.24691396,1.692139739,-0.617983924,1.448029163,-1.071849306,-0.08038192,1.185685558,0.167843277,0.055363505,1.254616718,0.069918772,-0.188521822,-0.675023962,-1.575840212,1.383617285,0.622905203,-0.52174375,0.677859829,-0.352283301,-0.980751985,-1.162938727,0.497214888,1.370187367,-0.362289063,0.219251937,0.489627773,-0.93761356,0.502151285,0.603448279,0.645054842,1.519904172,-1.207204777,-0.306019701,-1.10408001,-0.480973435,-0.121416662,1.037307681,-0.93991254,1.652618439,-0.479898979,1.678134456,1.001427503,-1.221732394,1.089283166,1.227518415,-0.172659047,1.222208075,-0.407543129,1.256764003,-0.375347071
City and County of the City of London,-2.449612226,-3.436466657,-3.606296202,-1.367713802,-1.179133815,2.283803352,-3.695546298,2.03964183,0.986402987,0,-1.198064424,-0.507121738,-1.504524282,3.306702739,0,0,0,0,0,1.102975613,-2.065842165,0,0,1.90300779,0,0,0,0,2.276724408,-2.692082157,5.562578663,0,5.150803964,5.486574719,1.374865339,-1.658814634,-1.44241115,0,0,0,0,-2.099887081,0.418820851,0.253273171,-2.270913543,-1.48666518,0.497214888,2.990305655,1.865303946,-2.384411085,0,0,1.890531731,0,0,0,0,3.925795599,3.443639972,1.456175477,0,-0.064486746,-1.25321672,0.161530007,-1.313407733,0.440409951,-0.357478977,-3.822840071,-0.290037025,-0.179527373,-1.084298813,-0.137958269,-0.63169185,-0.147277032,-0.609053739
Croydon,0.514418568,1.627510205,1.76246478,1.188142392,-0.754014256,0.29197198,0.704973665,-0.82302525,0.401320811,-0.294686482,0.502493408,-0.805523703,-0.354184283,-0.799617847,0.570863244,-0.206515724,1.10774096,0.511559413,0.419576263,-0.909455248,0.300418699,-0.073259281,-0.6012945,-0.818602304,-0.536673742,-0.098341519,-0.923786937,0.053287909,-0.150671863,0.619936764,-0.194963602,-0.242897827,-0.255562589,-0.11117477,-0.75954768,0.752416772,0.607215636,0.558956494,1.227658862,-0.829199837,-0.714369765,0.448814399,0.50383115,1.122553205,1.70385505,0.555543131,-1.24832674,-0.506412364,0.028724604,0.610175559,-0.082380658,-0.177065172,1.173948275,-0.92973322,-0.299814222,-0.582281559,0.454494547,-1.363973527,-0.628155826,-0.605950784,-0.926485704,-0.184440172,-0.31330418,0.070978078,0.353609774,-0.037700237,-0.132777906,0.59904298,-0.136001268,-0.114729212,0.283160836,-0.205404534,-0.183394408,-0.214779004,-0.375347071
Ealing,0.514418568,1.236373126,0.906907607,0.241619572,-0.237454969,-0.100938053,0.38366866,-0.202994545,-0.114306774,1.040014457,0.85451995,1.383033269,0.898150712,0.205339009,-0.638023626,-0.573654788,-0.72900933,1.175204058,2.214897808,-0.646314257,0.055633092,0.261640289,0.950433242,-0.489986844,-0.894722072,-0.969239506,-0.698683507,0.67661412,-0.077896926,-0.580493796,-0.190470202,-0.249886063,-0.340176786,-0.253890091,-0.23646618,0.243987236,0.848348199,-0.149665946,0.277116258,-0.664209087,0.799526426,-0.040410034,0.63167228,0.711092633,0.922328963,0.357107777,-0.201001763,-0.454216658,-0.291195669,-0.321040133,-0.237914509,-0.842545011,-0.214432171,0.928075845,-0.299814222,0.37325741,-0.526699339,-0.209842081,-0.522394896,1.456175477,1.033682397,0.224290019,0,0.173603597,-0.479898979,0.223377289,0.300574161,0.338932212,0.33310763,0.394399198,0.511070778,0.446576027,0.489051755,0.460240724,0.32577293
Enfield,0.514418568,0.92429567,0.823575252,1.014735498,-0.842319819,0.078237776,0.878717966,-0.948965004,0.395763465,-0.33478797,0.088603967,0.138163494,-0.379399082,-0.653350699,-0.772344389,-0.724829696,-0.697611889,-0.461786065,-1.324450381,0.221928521,0.993977918,-0.701195974,0.295259306,-1.164069839,-0.932747162,-0.809411786,-0.637868111,-0.551983689,-0.315002365,0.828719305,-0.195712502,-0.390014841,-0.097303139,-0.187313265,-0.69942337,0.428319172,-0.212635078,0.827744316,0.192890964,-0.305111571,-0.462053733,1.119525315,-0.057184549,0.518046346,1.117911584,0.668300895,-1.24832674,-0.742958013,-0.480778053,1.229411831,0.617211359,-0.405229688,-0.841442695,0.089262374,0.645054842,0.182149616,0.106328975,-0.498374942,-0.046470712,1.268709454,-2.711638795,-0.317721756,-0.31330418,-0.11012578,1.187118528,-0.25983955,-0.303978722,0.338932212,-0.290037025,-0.253582415,0.511070778,-0.216645578,0.713200476,-0.187778215,0.793186264
